label,wrist_x,wrist_y,wrist_z,thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,pinky_x,pinky_y,pinky_z
A,0.824245274,0.723245442,-7.18E-07,0.605787158,0.396095037,-0.070254944,0.714644611,0.543775022,-0.087799944,0.763795197,0.577019751,-0.073596999,0.804776609,0.59549731,-0.043396771,0.841549575,0.567043006,-0.041000266
A,0.656607866,0.844331503,-9.26E-07,0.454461038,0.511992276,-0.059655577,0.53717643,0.679338515,-0.07556159,0.581619084,0.710122049,-0.05728351,0.627051473,0.726490617,-0.029674074,0.67105788,0.702165902,-0.030071603
A,0.737177193,0.50822103,-5.41E-07,0.506901383,0.206879973,-0.053578831,0.608851254,0.324121714,-0.064595856,0.653054297,0.350740522,-0.054149557,0.701192915,0.372186482,-0.026240537,0.73914057,0.340825707,-0.021540336
A,0.872394979,0.513137102,-5.39E-07,0.652589262,0.218529105,-0.048619848,0.772514343,0.334091663,-0.063880593,0.814003348,0.365831614,-0.051334202,0.851714611,0.3819592,-0.022782275,0.885282159,0.358860314,-0.017652586
A,0.79837662,0.842229724,-5.63E-07,0.662739277,0.544978142,-0.062874399,0.738096416,0.689843297,-0.074041151,0.771841407,0.721356213,-0.062022015,0.800498664,0.741247118,-0.03101334,0.834532976,0.723200798,-0.024154335
A,0.576787114,0.90531081,-9.18E-07,0.396596789,0.587827742,-0.048427165,0.468195796,0.750317335,-0.067413673,0.505897403,0.77779007,-0.049825389,0.548648238,0.798416853,-0.027312387,0.591309071,0.781082273,-0.031851053
A,0.642920673,0.637226045,-6.24E-07,0.456539035,0.386182278,-0.052060351,0.537505984,0.510405362,-0.064682946,0.575677395,0.522616208,-0.0518317,0.614263535,0.532151699,-0.026911879,0.644733131,0.508081973,-0.025786461
A,0.561151326,0.603065431,-6.22E-07,0.367563784,0.385296196,-0.04521988,0.451034665,0.495928735,-0.053948585,0.484380484,0.50199616,-0.045412462,0.524610162,0.506838202,-0.02323547,0.551896453,0.484951317,-0.022999162
A,0.797147036,0.596416056,-4.71E-07,0.665018976,0.349556148,-0.042771071,0.726706028,0.460188299,-0.06023312,0.758516908,0.482994407,-0.048576441,0.787172973,0.498538435,-0.023573538,0.815301061,0.482580096,-0.019680303
A,0.887813687,0.400848567,-4.33E-07,0.736364841,0.128558904,-0.037508152,0.803676724,0.24131602,-0.048753526,0.837109923,0.2631329,-0.043712959,0.875188768,0.281713516,-0.019654529,0.906686723,0.260796219,-0.013390907
B,0.824445069,0.812907338,5.59E-07,0.777536929,0.599696159,-0.089734115,0.719722748,0.284890294,-0.099467106,0.754764855,0.237129271,-0.090969615,0.796623111,0.267494172,-0.093741581,0.848033428,0.340302765,-0.095717847
B,0.885747969,0.761910915,5.47E-07,0.840417027,0.504591942,-0.093564287,0.768018723,0.186969578,-0.099612027,0.809636831,0.135382861,-0.08920221,0.855082095,0.169187158,-0.090676293,0.917640865,0.243138015,-0.093305677
B,0.731044054,0.807767391,4.91E-07,0.684853137,0.606764436,-0.07316485,0.638673604,0.334639251,-0.078920692,0.673909009,0.294074506,-0.072057649,0.70945096,0.321255803,-0.075334854,0.756220281,0.382346451,-0.078090146
B,0.607546747,0.869519293,5.02E-07,0.553238034,0.669982076,-0.069350272,0.500374258,0.392432898,-0.083323531,0.534893036,0.34825474,-0.080457568,0.572969794,0.3799842,-0.085683979,0.614950418,0.445502609,-0.091454178
B,0.600096941,0.735954523,5.06E-07,0.550918102,0.523836076,-0.068166755,0.475041807,0.260616988,-0.074756995,0.50411576,0.21302402,-0.068276405,0.541067064,0.238903016,-0.071769819,0.589379191,0.298578769,-0.075160645
B,0.731325448,0.710814118,4.65E-07,0.698701739,0.47642377,-0.060893174,0.617877722,0.223866969,-0.058706447,0.650718331,0.182982594,-0.049191386,0.689677417,0.209449768,-0.052616,0.740035295,0.265884459,-0.055258259
B,0.749313056,0.857692778,4.07E-07,0.744849801,0.649607658,-0.065416686,0.687785327,0.398730218,-0.072136842,0.7190516,0.361706614,-0.067314178,0.754740417,0.389691114,-0.069480523,0.798499942,0.454375207,-0.072151177
