label,pt1_x,pt1_y,pt1_z,pt2_x,pt2_y,pt2_z,pt3_x,pt3_y,pt3_z,pt4_x,pt4_y,pt4_z,pt5_x,pt5_y,pt5_z,pt6_x,pt6_y,pt6_z,pt7_x,pt7_y,pt7_z,pt8_x,pt8_y,pt8_z,pt9_x,pt9_y,pt9_z,pt10_x,pt10_y,pt10_z,pt11_x,pt11_y,pt11_z,pt12_x,pt12_y,pt12_z,pt13_x,pt13_y,pt13_z,pt14_x,pt14_y,pt14_z,pt15_x,pt15_y,pt15_z,pt16_x,pt16_y,pt16_z,pt17_x,pt17_y,pt17_z,pt18_x,pt18_y,pt18_z,pt19_x,pt19_y,pt19_z,pt20_x,pt20_y,pt20_z
N,-0.05148184299468994,-0.04686945676803589,-0.02141183839617611,-0.07059693336486816,-0.1421097218990326,-0.034126172228440055,-0.03786832094192505,-0.2090761959552765,-0.04733365626512409,0.007895171642303467,-0.24993377923965454,-0.056642720862015494,-0.06956297159194946,-0.19119375944137573,-0.02011924461899639,-0.08128899335861206,-0.2520732879638672,-0.06033141763387562,-0.06393575668334961,-0.2011898159980774,-0.08316288740812183,-0.055989980697631836,-0.14905083179473877,-0.0909614026683414,-0.02584296464920044,-0.20256954431533813,-0.024340581535085448,-0.038503825664520264,-0.2753572165966034,-0.06973442287622333,-0.030991852283477783,-0.210500568151474,-0.08400997371850849,-0.029116332530975342,-0.1480676531791687,-0.08025472463546635,0.021126389503479004,-0.19766053557395935,-0.032742368443592795,0.01933377981185913,-0.21152013540267944,-0.07376859934507252,0.01476287841796875,-0.12387990951538086,-0.06898844839511753,0.004646420478820801,-0.06494849920272827,-0.051633356525286445,0.06514012813568115,-0.18166911602020264,-0.04322860987363697,0.05954885482788086,-0.18780481815338135,-0.06340995283304096,0.04964005947113037,-0.12747949361801147,-0.05281960444031597,0.040821850299835205,-0.08857259154319763,-0.03755888567744137
N,-0.06269872188568115,-0.05794444680213928,-0.024231875773921274,-0.08230990171432495,-0.17355668544769287,-0.03983738132978942,-0.036397457122802734,-0.2535737156867981,-0.056366833385482096,0.016188621520996094,-0.30561673641204834,-0.06877646454836395,-0.0807604193687439,-0.22572755813598633,-0.022802290033951067,-0.0901535153388977,-0.30340559780597687,-0.07052183755899932,-0.07328665256500244,-0.24611853063106537,-0.09876431384350326,-0.06523644924163818,-0.18194705247879028,-0.10866664954687622,-0.027881920337677002,-0.23384246230125427,-0.029761119272961878,-0.03589272499084473,-0.3314560800790787,-0.08192934700514343,-0.02907019853591919,-0.26120494306087494,-0.09828089782263305,-0.02814650535583496,-0.185209721326828,-0.09366885432268646,0.027277112007141113,-0.22306880354881287,-0.04189483308459785,0.026747405529022217,-0.25986889004707336,-0.08973359921242263,0.019479334354400635,-0.15726351737976074,-0.08293133833672073,0.005915045738220215,-0.08432817459106445,-0.06181886279250648,0.07916021347045898,-0.20019292831420898,-0.056318855371728205,0.07066774368286133,-0.22120919823646545,-0.08061791070963409,0.058074235916137695,-0.1519518792629242,-0.06651425221230056,0.04734063148498535,-0.1039971113204956,-0.04724567988182571
N,-0.053716957569122314,-0.04637300968170166,-0.023077086091205956,-0.07080274820327759,-0.1413693130016327,-0.0375677389206146,-0.03348153829574585,-0.20957496762275696,-0.05221721577660787,0.010169386863708496,-0.25609809160232544,-0.06313704374449003,-0.073025643825531,-0.1892683506011963,-0.02100282768921602,-0.0839383602142334,-0.2533952593803406,-0.06202940318004835,-0.06559610366821289,-0.20384016633033752,-0.08656426194326627,-0.05640608072280884,-0.151178777217865,-0.09551337781564939,-0.027170300483703613,-0.20048949122428894,-0.0253556226493572,-0.03810703754425049,-0.275873064994812,-0.0692478907407974,-0.030560612678527832,-0.21150338649749756,-0.08314225497858274,-0.028436481952667236,-0.1486036777496338,-0.0794884753526901,0.020778119564056396,-0.19489270448684692,-0.03440164822356451,0.017957687377929688,-0.2121189832687378,-0.07484847727434385,0.012451469898223877,-0.12410438060760498,-0.0698366952242111,0.0032386183738708496,-0.0659220814704895,-0.0526255075933193,0.06537967920303345,-0.17853522300720215,-0.04567055079357374,0.05498594045639038,-0.18575650453567505,-0.06587361964599836,0.04541444778442383,-0.12595126032829285,-0.054658394783899666,0.039432525634765625,-0.08841896057128906,-0.038964372605249764
N,-0.03113192319869995,-0.0426059365272522,-0.02529132561957681,-0.03754693269729614,-0.11518627405166626,-0.03883675122833097,-0.007088959217071533,-0.1601111888885498,-0.05002274746274793,0.032123029232025146,-0.1899389624595642,-0.05662132436609113,-0.045161664485931396,-0.17346036434173584,-0.027052713653205274,-0.04620629549026489,-0.20965564250946045,-0.05801610658144796,-0.03290492296218872,-0.1581944227218628,-0.0735622943398937,-0.029602408409118652,-0.1156543493270874,-0.07889482388472402,-0.005172014236450195,-0.18394094705581665,-0.02636810774183118,-0.008676648139953613,-0.22367388010025024,-0.0611309819874748,-0.004194140434265137,-0.16039705276489258,-0.0698258058187946,-0.006825447082519531,-0.11481064558029175,-0.0662019775269016,0.03425413370132446,-0.17520153522491455,-0.029194103649018643,0.03342407941818237,-0.1609358787536621,-0.06072744736647451,0.024984121322631836,-0.0866403579711914,-0.05595847228741491,0.011801421642303467,-0.04576486349105835,-0.04341965550756299,0.06867092847824097,-0.15434056520462036,-0.03460231432890737,0.06787306070327759,-0.12542104721069336,-0.050225094055889485,0.05359816551208496,-0.07585269212722778,-0.04353383938050115,0.039698779582977295,-0.05437576770782471,-0.033796224838255284
N,-0.04308605194091797,-0.03889578580856323,-0.022409377690280508,-0.05637162923812866,-0.11064362525939941,-0.03505599505814416,-0.025493860244750977,-0.15871906280517578,-0.04615163437637193,0.011883437633514404,-0.19473904371261597,-0.05338909111532075,-0.05465292930603027,-0.17515414953231812,-0.018539795722688268,-0.06907689571380615,-0.19844883680343628,-0.05354671932371957,-0.06354296207427979,-0.14545482397079468,-0.07572974644216401,-0.0553898811340332,-0.10649698972702026,-0.08559295169624193,-0.015411615371704102,-0.19034433364868164,-0.01971808269234998,-0.03267568349838257,-0.214521586894989,-0.056967951428021024,-0.03491067886352539,-0.15039098262786865,-0.06821164868387086,-0.03151237964630127,-0.10545337200164795,-0.0653162562063585,0.02203369140625,-0.18412554264068604,-0.02514651052268846,0.010841071605682373,-0.15466278791427612,-0.055383868586147855,0.00026416778564453125,-0.0807761549949646,-0.04930924258741243,-0.006328105926513672,-0.04105997085571289,-0.03552333645137651,0.05238825082778931,-0.1661626100540161,-0.033600371401632856,0.0353509783744812,-0.1205129623413086,-0.047669172357643674,0.024653077125549316,-0.07054907083511353,-0.039956219564999174,0.02171945571899414,-0.05235391855239868,-0.02880871302994592
N,-0.05225712060928345,-0.037848591804504395,-0.019920305826786944,-0.07764843106269836,-0.11205804347991943,-0.0323879378969707,-0.051974475383758545,-0.16939955949783325,-0.04461903452229876,-0.013803601264953613,-0.2125571370124817,-0.053239997022870966,-0.08069121837615967,-0.17177093029022217,-0.012756679684940764,-0.09776446223258972,-0.19571900367736816,-0.048334858858112284,-0.0808611512184143,-0.14892494678497314,-0.07304103254628558,-0.06781589984893799,-0.10886383056640625,-0.08427832602811236,-0.042044609785079956,-0.19466406106948853,-0.015782087587837168,-0.06331503391265869,-0.22330933809280396,-0.052800084942106196,-0.05489945411682129,-0.16434013843536377,-0.06680068700862307,-0.04770016670227051,-0.11328107118606567,-0.0656942310864963,-0.0020331144332885742,-0.19890570640563965,-0.023246019625190684,-0.013065457344055176,-0.17134016752243042,-0.053459118598226496,-0.012284457683563232,-0.0961487889289856,-0.050588942610744425,-0.014486253261566162,-0.04756665229797363,-0.038530721807006785,0.033123135566711426,-0.18803036212921143,-0.03361357703161616,0.018314003944396973,-0.14848119020462036,-0.04720023601603884,0.015232741832733154,-0.09519577026367188,-0.04027240678024668,0.01535564661026001,-0.06719672679901123,-0.029669554450634905
N,-0.058668166399002075,-0.03436744213104248,-0.019546364616672918,-0.08750760555267334,-0.12239840626716614,-0.03276776820055716,-0.06296578049659729,-0.20044493675231934,-0.046854901310126706,-0.030962973833084106,-0.2612707018852234,-0.057742751386086866,-0.09401118755340576,-0.17376062273979187,-0.014528406966547891,-0.11646115779876709,-0.22942602634429932,-0.05412599369518034,-0.09972470998764038,-0.1872977316379547,-0.07846177294484846,-0.08316132426261902,-0.1378856599330902,-0.0866113297604727,-0.051668375730514526,-0.19300511479377747,-0.019435896720807477,-0.07717770338058472,-0.25936752557754517,-0.06345654204122297,-0.06886246800422668,-0.20481812953948975,-0.0788583971523451,-0.05691629648208618,-0.14241012930870056,-0.07540830149881117,-0.0060860514640808105,-0.19908034801483154,-0.028768305849354192,-0.01919877529144287,-0.21263015270233154,-0.06804723962775938,-0.013774394989013672,-0.12925779819488525,-0.06448695733777754,-0.009984970092773438,-0.06852677464485168,-0.04776233732334845,0.03797811269760132,-0.1947040855884552,-0.040015167739312574,0.01683872938156128,-0.1969667673110962,-0.05841753556958906,0.016628742218017578,-0.13463762402534485,-0.04717085435621016,0.022077977657318115,-0.09382238984107971,-0.031073228638689443
N,-0.06051567196846008,-0.04093855619430542,-0.02393184253728009,-0.09407603740692139,-0.14069530367851257,-0.03824584582602597,-0.07498839497566223,-0.22996467351913452,-0.053950492532607086,-0.03923800587654114,-0.2988050878047943,-0.06487498083865262,-0.10791528224945068,-0.19094863533973694,-0.015281688661929138,-0.13537374138832092,-0.2661505788564682,-0.06128107407843686,-0.1125262975692749,-0.22227755188941956,-0.08768212446724988,-0.09368622303009033,-0.16392946243286133,-0.09511466720854855,-0.06202954053878784,-0.2144109010696411,-0.019521428512092598,-0.08929327130317688,-0.2950572669506073,-0.06988879689728833,-0.07599738240242004,-0.23901155591011047,-0.08645847836291409,-0.06306332349777222,-0.16941046714782715,-0.0817873219565115,-0.011097937822341919,-0.22149589657783508,-0.02947882773136712,-0.018696099519729614,-0.24152588844299316,-0.0753762314633093,-0.010995686054229736,-0.1490977704524994,-0.07189199724948026,-0.010509967803955078,-0.07789495587348938,-0.052853893728610046,0.03920367360115051,-0.2172471582889557,-0.04188252636944867,0.02863284945487976,-0.22532063722610474,-0.06462826976334668,0.026273339986801147,-0.15916243195533752,-0.05398621434127904,0.023555487394332886,-0.11077079176902771,-0.036976207287665375
N,-0.06401640176773071,-0.05643415451049805,-0.02177740877189649,-0.09004431962966919,-0.16820642352104187,-0.035670035161757596,-0.04889786243438721,-0.24961087107658386,-0.05118809697844995,0.0008441805839538574,-0.3035452961921692,-0.06275282485106004,-0.08839982748031616,-0.21728456020355225,-0.016699972205543645,-0.10295760631561279,-0.2945024371147156,-0.061033245750451215,-0.08570331335067749,-0.2419327348470688,-0.08692595792629731,-0.07467848062515259,-0.18265587091445923,-0.09546589536287797,-0.03800392150878906,-0.22851666808128357,-0.0237131869576217,-0.054488539695739746,-0.3186802864074707,-0.07190275622227205,-0.045058250427246094,-0.25079484283924103,-0.0864905161938907,-0.03767120838165283,-0.17680573463439941,-0.08113896531679643,0.01544421911239624,-0.22298645973205566,-0.03612829057195199,0.011607766151428223,-0.2554030865430832,-0.08154882175543321,0.010221362113952637,-0.15629994869232178,-0.07591852230646623,0.003783106803894043,-0.0835803747177124,-0.05596016777374757,0.06641614437103271,-0.20588696002960205,-0.050714601405644544,0.05600464344024658,-0.2250555455684662,-0.07424417568066133,0.04672360420227051,-0.1553097665309906,-0.06161938665130151,0.03990781307220459,-0.10424673557281494,-0.04353620541908754
N,-0.04559105634689331,-0.04826557636260986,-0.019686504223898282,-0.0636744499206543,-0.12818074226379395,-0.03268017336125695,-0.02861243486404419,-0.18288427591323853,-0.04571906938548409,0.01990675926208496,-0.20900344848632812,-0.05515408977265679,-0.05220293998718262,-0.18533504009246826,-0.01770870662625157,-0.0607447624206543,-0.2293229103088379,-0.05386691629286133,-0.052340030670166016,-0.17913717031478882,-0.07569883852596604,-0.04726886749267578,-0.13485461473464966,-0.08433533548708283,-0.011400759220123291,-0.19576150178909302,-0.021074228876784673,-0.022844970226287842,-0.24527722597122192,-0.05959040387864434,-0.023328840732574463,-0.18394947052001953,-0.07098156302566849,-0.02478271722793579,-0.12866359949111938,-0.06707464992399537,0.029109537601470947,-0.189766526222229,-0.028632533693269124,0.019577383995056152,-0.17749106884002686,-0.06198150008316361,0.00976473093032837,-0.10184544324874878,-0.05839614286418282,0.00012564659118652344,-0.05237090587615967,-0.044302363836720815,0.06477391719818115,-0.17162388563156128,-0.038611196869567266,0.04852116107940674,-0.14930027723312378,-0.054237120741561284,0.0374068021774292,-0.09652769565582275,-0.04677943974132859,0.03282719850540161,-0.06528991460800171,-0.03495256691570603
