label,lh_pt0_x,lh_pt0_y,lh_pt0_z,lh_pt1_x,lh_pt1_y,lh_pt1_z,lh_pt2_x,lh_pt2_y,lh_pt2_z,lh_pt3_x,lh_pt3_y,lh_pt3_z,lh_pt4_x,lh_pt4_y,lh_pt4_z,lh_pt5_x,lh_pt5_y,lh_pt5_z,lh_pt6_x,lh_pt6_y,lh_pt6_z,lh_pt7_x,lh_pt7_y,lh_pt7_z,lh_pt8_x,lh_pt8_y,lh_pt8_z,lh_pt9_x,lh_pt9_y,lh_pt9_z,lh_pt10_x,lh_pt10_y,lh_pt10_z,lh_pt11_x,lh_pt11_y,lh_pt11_z,lh_pt12_x,lh_pt12_y,lh_pt12_z,lh_pt13_x,lh_pt13_y,lh_pt13_z,lh_pt14_x,lh_pt14_y,lh_pt14_z,lh_pt15_x,lh_pt15_y,lh_pt15_z,lh_pt16_x,lh_pt16_y,lh_pt16_z,lh_pt17_x,lh_pt17_y,lh_pt17_z,lh_pt18_x,lh_pt18_y,lh_pt18_z,lh_pt19_x,lh_pt19_y,lh_pt19_z,lh_pt20_x,lh_pt20_y,lh_pt20_z,rh_pt0_x,rh_pt0_y,rh_pt0_z,rh_pt1_x,rh_pt1_y,rh_pt1_z,rh_pt2_x,rh_pt2_y,rh_pt2_z,rh_pt3_x,rh_pt3_y,rh_pt3_z,rh_pt4_x,rh_pt4_y,rh_pt4_z,rh_pt5_x,rh_pt5_y,rh_pt5_z,rh_pt6_x,rh_pt6_y,rh_pt6_z,rh_pt7_x,rh_pt7_y,rh_pt7_z,rh_pt8_x,rh_pt8_y,rh_pt8_z,rh_pt9_x,rh_pt9_y,rh_pt9_z,rh_pt10_x,rh_pt10_y,rh_pt10_z,rh_pt11_x,rh_pt11_y,rh_pt11_z,rh_pt12_x,rh_pt12_y,rh_pt12_z,rh_pt13_x,rh_pt13_y,rh_pt13_z,rh_pt14_x,rh_pt14_y,rh_pt14_z,rh_pt15_x,rh_pt15_y,rh_pt15_z,rh_pt16_x,rh_pt16_y,rh_pt16_z,rh_pt17_x,rh_pt17_y,rh_pt17_z,rh_pt18_x,rh_pt18_y,rh_pt18_z,rh_pt19_x,rh_pt19_y,rh_pt19_z,rh_pt20_x,rh_pt20_y,rh_pt20_z,arm_pt0_x,arm_pt0_y,arm_pt0_z,arm_pt1_x,arm_pt1_y,arm_pt1_z,arm_pt2_x,arm_pt2_y,arm_pt2_z,arm_pt3_x,arm_pt3_y,arm_pt3_z,arm_pt4_x,arm_pt4_y,arm_pt4_z,arm_pt5_x,arm_pt5_y,arm_pt5_z
A,0.0,0.0,0.0,-0.04258495569229126,0.006355077028274536,-0.003497797609199438,-0.08436578512191772,-0.015035182237625122,-0.0025842281383319232,-0.10868525505065918,-0.037526339292526245,-0.0033259325054331157,-0.129014790058136,-0.05340683460235596,-0.003909810758088383,-0.09200549125671387,-0.09251397848129272,0.010293882959629741,-0.12066227197647095,-0.12873917818069458,0.004941551168556657,-0.13776957988739014,-0.15079712867736816,-0.002454110733125958,-0.15219229459762573,-0.17222687602043152,-0.008730415566716943,-0.07940888404846191,-0.1098727285861969,0.004330651057060209,-0.1116744875907898,-0.15227162837982178,-0.00027742975264288816,-0.13190513849258423,-0.17908436059951782,-0.007892886488590989,-0.1489323377609253,-0.2033502161502838,-0.013935319459889683,-0.06163740158081055,-0.11979463696479797,-0.003993606506739411,-0.09165990352630615,-0.16336730122566223,-0.010506941317473206,-0.11067479848861694,-0.18977731466293335,-0.01712195792690352,-0.12776952981948853,-0.21276584267616272,-0.022120364322219643,-0.03869068622589111,-0.12476271390914917,-0.013370276740644726,-0.05783092975616455,-0.16452273726463318,-0.020191209702645097,-0.0718887448310852,-0.19015824794769287,-0.02401422740415171,-0.08609199523925781,-0.21375608444213867,-0.026955889849816117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3891253173351288,0.03374814987182617,-0.09879744052886963,0.28448784351348877,0.1422773003578186,-0.40118321776390076,-0.5445556044578552,0.4049474596977234,-0.03223276138305664,0.08667463064193726,-0.19131526350975037,-0.8932200968265533,-0.6547619150951505,0.7734652757644653,-0.31065550446510315
A,0.0,0.0,0.0,-0.04182082414627075,0.01566985249519348,0.001309370202051241,-0.08294659852981567,0.004254281520843506,0.004148223832288522,-0.1087946891784668,-0.012242704629898071,0.003709268918299813,-0.13243770599365234,-0.023594796657562256,0.0024742646366746612,-0.09616702795028687,-0.06511932611465454,0.017874316707292337,-0.12612009048461914,-0.09359592199325562,0.014392940722444791,-0.14487308263778687,-0.10998561978340149,0.007375257950315017,-0.1620514988899231,-0.12622830271720886,0.0005937950793111213,-0.08506685495376587,-0.08546525239944458,0.007969724409321088,-0.11767750978469849,-0.12054061889648438,0.0035068028830380626,-0.13931429386138916,-0.14296013116836548,-0.006242593821099263,-0.1578974723815918,-0.1619803011417389,-0.01427467407282279,-0.06934648752212524,-0.09776994585990906,-0.004288089998027544,-0.10103988647460938,-0.1314098834991455,-0.011533465772828322,-0.12240618467330933,-0.15116959810256958,-0.020351198106965285,-0.14205139875411987,-0.16844038665294647,-0.027278051316699248,-0.04945105314254761,-0.10577884316444397,-0.01718586178120063,-0.07463151216506958,-0.13584086298942566,-0.025357321441134673,-0.09177464246749878,-0.1545528769493103,-0.030731361895760756,-0.10840052366256714,-0.17280501127243042,-0.03525226989384578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37200063467025757,0.04680758714675903,-0.1246524527668953,0.27831876277923584,0.11074268817901611,-0.32484886795282364,-0.532127857208252,0.4242817163467407,-0.0890146866440773,0.08477932214736938,-0.16991665959358215,-0.6716184988617897,-0.6032550372183323,0.8244295716285706,-0.3024737611413002
A,0.0,0.0,0.0,-0.04267561435699463,0.013167977333068848,-0.010529665707821323,-0.08703190088272095,-0.0008724629878997803,-0.013476949616546108,-0.11689954996109009,-0.019880861043930054,-0.01648938885259099,-0.14057594537734985,-0.034532248973846436,-0.01912383219527669,-0.09532535076141357,-0.07486757636070251,3.835944303887118e-05,-0.12680214643478394,-0.1087113618850708,-0.008354096173519565,-0.1447271704673767,-0.12971077859401703,-0.016821371822828723,-0.15961670875549316,-0.15064629912376404,-0.023631971760863735,-0.08127832412719727,-0.09966915845870972,-0.003201762180054857,-0.11407935619354248,-0.14039945602416992,-0.01015683586078353,-0.1336997151374817,-0.1663406938314438,-0.018074157147879077,-0.1501021385192871,-0.18897409737110138,-0.024348894565576984,-0.06227564811706543,-0.11511294543743134,-0.009183060809249355,-0.091968834400177,-0.15573576092720032,-0.01743996559011407,-0.110576331615448,-0.18032166361808777,-0.02402563249992795,-0.12785965204238892,-0.20209340751171112,-0.029121311812872364,-0.03854864835739136,-0.12392231822013855,-0.016654512345070316,-0.05812060832977295,-0.15932288765907288,-0.025105487986678554,-0.07224702835083008,-0.1821439564228058,-0.02950460506903596,-0.08673644065856934,-0.20337839424610138,-0.03281223258304067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3774610459804535,0.03724402189254761,-0.0967869833111763,0.27484840154647827,0.11273199319839478,-0.3219965919852257,-0.5397334471344948,0.41328322887420654,-0.04379115253686905,0.1110031008720398,-0.1858091652393341,-0.7326880320906639,-0.6505204970017076,0.7736284136772156,-0.28830536454916
A,0.0,0.0,0.0,-0.03918057680130005,0.013365000486373901,-0.007679845931946261,-0.08131927251815796,-0.0036698579788208008,-0.009765722117393238,-0.10664248466491699,-0.023183465003967285,-0.0126256293421676,-0.12818539142608643,-0.03624004125595093,-0.01554434213694833,-0.09200072288513184,-0.07430613040924072,0.0014408979061926175,-0.12115651369094849,-0.10651898384094238,-0.00677738085296653,-0.13916093111038208,-0.12557652592658997,-0.015283474027185662,-0.15465092658996582,-0.1439686417579651,-0.02215006787237428,-0.08045494556427002,-0.09295344352722168,-0.0033638372821798157,-0.11197519302368164,-0.13265952467918396,-0.010801405905752404,-0.1325054168701172,-0.1574987918138504,-0.019614162183373196,-0.15003955364227295,-0.17965152859687805,-0.02640891846176885,-0.06389850378036499,-0.10299870371818542,-0.010527999400167687,-0.09327816963195801,-0.14317846298217773,-0.01901753645297788,-0.11227411031723022,-0.1668306291103363,-0.026399459949701054,-0.12947481870651245,-0.18786242604255676,-0.031985163948505146,-0.04276084899902344,-0.10712859034538269,-0.018935390076606495,-0.06259465217590332,-0.14219330251216888,-0.027362508959143383,-0.077542245388031,-0.16515566408634186,-0.032149333766668065,-0.09222173690795898,-0.1866103708744049,-0.03586217787024282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3763081133365631,0.03840446472167969,-0.06691840291023254,0.27792221307754517,0.11340302228927612,-0.3469454348087311,-0.5345855131745338,0.41169291734695435,0.023757465183734894,0.08912509679794312,-0.1866360604763031,-0.799981951713562,-0.6458484125323594,0.7605120539665222,-0.25363966822624207
A,0.0,0.0,0.0,-0.040002644062042236,0.012262612581253052,-0.004620473044425921,-0.08080440759658813,-0.00682869553565979,-0.006271127289593892,-0.1048206090927124,-0.02717486023902893,-0.00941030788651176,-0.12655562162399292,-0.041164517402648926,-0.013135736020714717,-0.09412086009979248,-0.0706254243850708,0.000577693253788425,-0.12316977977752686,-0.10264182090759277,-0.009001538301319556,-0.14142143726348877,-0.1217924952507019,-0.018252986627132373,-0.157176673412323,-0.139818012714386,-0.025684493737728076,-0.0834420919418335,-0.08751091361045837,-0.006408319952399211,-0.11571133136749268,-0.1264289915561676,-0.015558310928255992,-0.13686561584472656,-0.15040171146392822,-0.025804720031530337,-0.15525096654891968,-0.1720973551273346,-0.03366551655760475,-0.06740331649780273,-0.09589734673500061,-0.01528400942167707,-0.09762758016586304,-0.136092409491539,-0.025366307380110698,-0.11730283498764038,-0.15960964560508728,-0.034209025236279444,-0.13552647829055786,-0.17999938130378723,-0.04083230081430145,-0.04612201452255249,-0.09801316261291504,-0.02497795704236694,-0.06711322069168091,-0.13264614343643188,-0.03496706593266197,-0.08381181955337524,-0.1543937623500824,-0.0410641964100904,-0.1004135012626648,-0.17335885763168335,-0.04579752418628402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.379501074552536,0.044375598430633545,-0.05608876049518585,0.27586251497268677,0.08472561836242676,-0.4994763731956482,-0.5393104553222656,0.41221749782562256,0.04559685289859772,0.07935386896133423,-0.20597055554389954,-1.1280585527420044,-0.679207768291235,0.7301138043403625,-0.19212129712104797
A,0.0,0.0,0.0,-0.03959435224533081,0.012233197689056396,-0.002771515987902262,-0.08096158504486084,-0.00679662823677063,-0.0024229850453281188,-0.10519856214523315,-0.026448547840118408,-0.0037321063057476067,-0.12570512294769287,-0.03945201635360718,-0.005716001505120971,-0.09273958206176758,-0.07123035192489624,0.00336556962496104,-0.12151557207107544,-0.10456383228302002,-0.004741577321752288,-0.14011067152023315,-0.12398761510848999,-0.012981218641712644,-0.1556946039199829,-0.14159797132015228,-0.01968761103422878,-0.0819891095161438,-0.08781319856643677,-0.003833487287252524,-0.11451804637908936,-0.12671491503715515,-0.011848955771043279,-0.13620328903198242,-0.15073630213737488,-0.021386097541167715,-0.15479141473770142,-0.17214927077293396,-0.028631992062642553,-0.06603509187698364,-0.09688520431518555,-0.012833124382510164,-0.09695565700531006,-0.13651436567306519,-0.022082495858981588,-0.11717653274536133,-0.16036787629127502,-0.030714574625804403,-0.13566875457763672,-0.18131762742996216,-0.0371528150347018,-0.045126914978027344,-0.10051441192626953,-0.022486375069334485,-0.066844642162323,-0.13524788618087769,-0.032185177674605825,-0.0830342173576355,-0.15728797018527985,-0.03819504322679279,-0.09868741035461426,-0.17673960328102112,-0.0427913138476157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3813222646713257,0.04402422904968262,-0.02772212028503418,0.2747803330421448,0.08609592914581299,-0.4868342876434326,-0.5424927845597267,0.4099996089935303,0.08104415982961655,0.07439714670181274,-0.20837491750717163,-1.114209771156311,-0.6691272351890802,0.7429242134094238,-0.18470245599746704
A,0.0,0.0,0.0,-0.043781816959381104,0.013283312320709229,0.007211092201181657,-0.08384472131729126,-0.003646165132522583,0.010544641682066924,-0.10869884490966797,-0.022281497716903687,0.009331472956695563,-0.13176769018173218,-0.03501546382904053,0.006193722405591018,-0.09657400846481323,-0.06811830401420593,0.012634010792829997,-0.12620443105697632,-0.1009487509727478,0.006201195337929732,-0.1447635293006897,-0.12013190984725952,-0.0019681276351875,-0.1610814929008484,-0.13846401870250702,-0.009709426394543641,-0.08476269245147705,-0.08618837594985962,-0.001882592525213056,-0.1182476282119751,-0.1252402663230896,-0.009638564853808873,-0.14060604572296143,-0.1494179368019104,-0.021638609661600583,-0.16003018617630005,-0.17060236632823944,-0.031694533496043675,-0.06830078363418579,-0.09565839171409607,-0.017703125445983403,-0.09956872463226318,-0.13485956192016602,-0.02741722036792993,-0.12019038200378418,-0.15784397721290588,-0.038677951513669484,-0.1392495036125183,-0.17796912789344788,-0.048017827986619466,-0.04702073335647583,-0.09990382194519043,-0.033367669402501576,-0.07018935680389404,-0.13596715033054352,-0.04441311043395757,-0.08657681941986084,-0.15786105394363403,-0.052494732855699056,-0.10263955593109131,-0.17737999558448792,-0.05959313568367719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3819425702095032,0.04683220386505127,-0.022973909974098206,0.27677464485168457,0.08698815107345581,-0.4333511292934418,-0.5422676056623459,0.4158274531364441,0.06233741343021393,0.0724286437034607,-0.21158930659294128,-0.9452989995479584,-0.6549990593921393,0.7534403204917908,-0.18178534507751465
A,0.0,0.0,0.0,-0.04206722974777222,0.012888669967651367,0.0008827364618468891,-0.08221989870071411,-0.004075855016708374,0.0025332239420663427,-0.10699617862701416,-0.022784143686294556,0.001369270841735215,-0.12952429056167603,-0.035599708557128906,-0.0006572874880816926,-0.09482383728027344,-0.07057008147239685,0.010095107365543754,-0.1242150068283081,-0.1043265163898468,0.003805972399334223,-0.14246279001235962,-0.12320184707641602,-0.0038711763954211165,-0.15835952758789062,-0.140788272023201,-0.010538219477837174,-0.08344024419784546,-0.0884891152381897,0.0005371966363441061,-0.11628025770187378,-0.12810996174812317,-0.005793875552569716,-0.13809406757354736,-0.15210118889808655,-0.015453700911109536,-0.1566634178161621,-0.1728985458612442,-0.023190109062795727,-0.06703704595565796,-0.09821024537086487,-0.010891606103484719,-0.09836941957473755,-0.13763990998268127,-0.01892939210296163,-0.11816179752349854,-0.16095301508903503,-0.027625704187755673,-0.13628756999969482,-0.1813531219959259,-0.03452650271714219,-0.045566558837890625,-0.10313990712165833,-0.022798473019008725,-0.06770181655883789,-0.13911190629005432,-0.03180163540304193,-0.08344566822052002,-0.16110314428806305,-0.03763382323444375,-0.09884196519851685,-0.18077364563941956,-0.0424232687836934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3829532861709595,0.045838892459869385,-0.013351976871490479,0.27947932481765747,0.09384441375732422,-0.4484483301639557,-0.5432858094573021,0.4157788157463074,0.08517016470432281,0.07465255260467529,-0.21130001544952393,-1.0091187059879303,-0.657397257629782,0.7556269764900208,-0.17344963550567627
A,0.0,0.0,0.0,-0.039735376834869385,0.013855695724487305,-0.004840406072020187,-0.08155381679534912,-0.0026283562183380127,-0.005435477890699758,-0.10688495635986328,-0.021749883890151978,-0.007355207060157909,-0.1294293999671936,-0.03408163785934448,-0.009438608721524133,-0.09472459554672241,-0.07219180464744568,0.0045354152613583665,-0.12359029054641724,-0.10502475500106812,-0.002752282139539375,-0.14172154664993286,-0.12384727597236633,-0.010615527578323736,-0.15725094079971313,-0.14143291115760803,-0.017113611050575628,-0.08298373222351074,-0.09006723761558533,-0.001421316591716959,-0.11481064558029175,-0.12928831577301025,-0.00823921518835391,-0.1354295015335083,-0.15343934297561646,-0.01677619101914729,-0.1531127691268921,-0.17525801062583923,-0.02340568038138713,-0.06600821018218994,-0.09980574250221252,-0.009597488627463235,-0.09591281414031982,-0.13874250650405884,-0.018064072304099454,-0.114429771900177,-0.16167482733726501,-0.025455770962565794,-0.13176977634429932,-0.18211358785629272,-0.031022388436525716,-0.04401421546936035,-0.10484787821769714,-0.018735624798267736,-0.0637086033821106,-0.14056165516376495,-0.027618328057855024,-0.07846295833587646,-0.16281962394714355,-0.03271421598705615,-0.09360134601593018,-0.18314629793167114,-0.03660902934583987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3841221332550049,0.04457199573516846,-0.0034555941820144653,0.279758095741272,0.09848541021347046,-0.4552961587905884,-0.5448103919625282,0.41417473554611206,0.08842004835605621,0.07597988843917847,-0.21091455221176147,-0.9636971950531006,-0.66134715359658,0.7626050710678101,-0.17429283261299133
A,0.0,0.0,0.0,-0.039520263671875,0.01478603482246399,-0.00553049294974528,-0.08279454708099365,-0.0006380081176757812,-0.006183212238809688,-0.10884642601013184,-0.01967570185661316,-0.008040512993446214,-0.13090896606445312,-0.03211137652397156,-0.009995143942049367,-0.09607076644897461,-0.07154467701911926,0.004627487075069325,-0.12550663948059082,-0.10273122787475586,-0.0027733823167892524,-0.14367514848709106,-0.12127405405044556,-0.010920287191382272,-0.15940886735916138,-0.1393977701663971,-0.017677003599217755,-0.08454030752182007,-0.09054166078567505,-0.0009924780693637558,-0.11664867401123047,-0.12829627096652985,-0.007841569452992303,-0.13740086555480957,-0.1522577702999115,-0.016536999575308187,-0.15506690740585327,-0.17414675652980804,-0.023279568261912686,-0.06766188144683838,-0.10131710767745972,-0.008928737684598786,-0.09753215312957764,-0.13922980427742004,-0.017375728196910245,-0.11696988344192505,-0.16226091980934143,-0.024936972267440183,-0.13495725393295288,-0.1827559471130371,-0.03060840450923763,-0.04584550857543945,-0.10704109072685242,-0.01790606797437988,-0.0657578706741333,-0.14204484224319458,-0.026445912278703076,-0.08059006929397583,-0.1642574667930603,-0.03135611311297737,-0.09557598829269409,-0.1847374141216278,-0.03514898762803398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3840571939945221,0.04387187957763672,0.0023262351751327515,0.27925658226013184,0.1004289984703064,-0.39589260518550873,-0.5465134978294373,0.41499030590057373,0.09961667656898499,0.07904106378555298,-0.20715010166168213,-0.881568655371666,-0.6591835250146687,0.7716915011405945,-0.17447613179683685
